barcode,I0Adose,I0AC3H,A1F0,A1F1,A2F0,A3F0,A4F0,A4F2,B1F0,B1F1,B1F2,B1F5,B2F0,B2F1,B2F2,B2F5,B3F0,B3F1,B3F2,B3F5,B4F0,B4F1,B4F2,B4F5,C1F0,C1F1,C1F2,C1F5,C2F0,C2F1,C2F2,C2F5,C3F0,C3F1,C3F2,C3F5,C4F0,C4F1,C4F2,C4F5,I8C3H
"Cluster_3356,contig_0 consensus mapping",1164,1535,1390,0,1472,535,346,0,992,0,21,0,752,216,0,0,760,398,0,0,871,129,0,0,896,342,1748,1236,1072,2259,1148,1035,1271,520,306,35,1184,806,474,74,1
"Cluster_14450,contig_0 consensus mapping",1268,1618,1027,0,305,882,1188,0,1090,0,24,0,841,10,86,0,823,0,0,0,936,88,0,0,1006,179,1237,435,1213,458,536,217,1456,157,2,0,1328,202,42,0,2
"Cluster_2433,contig_0 consensus mapping",746,948,576,0,402,709,605,0,638,0,34,0,526,35,0,0,491,0,0,0,617,89,0,0,615,142,456,508,762,345,234,232,899,275,0,0,819,289,525,77,3057
"Cluster_11369,contig_0 consensus mapping",1181,1520,1810,0,810,1285,943,0,933,263,0,0,770,16,0,0,783,331,0,0,868,129,7,2935,957,82,346,72,1083,943,326,127,1382,304,246,0,1277,297,32,1,2836
"Cluster_6250,contig_0 consensus mapping",837,1141,896,0,977,224,373,0,670,0,10,0,550,114,0,0,585,832,0,0,659,0,0,0,671,62,5,18,827,758,229,205,983,231,0,0,901,279,117,32,0
"Cluster_2803,contig_0 consensus mapping",1356,1739,1757,0,1561,1253,801,0,1217,0,0,0,920,26,89,2865,976,0,0,0,1009,4914,481,3682,1094,143,376,131,1319,588,973,503,1591,178,0,0,1466,182,54,1,2558
"Cluster_7007,contig_0 consensus mapping",779,986,715,0,1386,408,690,0,727,0,0,0,546,70,0,0,496,318,0,1,602,83,0,0,649,237,516,594,874,1940,565,244,897,267,0,0,924,291,56,3,1
"Cluster_1598,contig_0 consensus mapping",767,1013,941,0,582,256,251,0,719,0,19,0,552,0,0,0,498,361,0,0,585,253,0,0,626,106,2074,408,747,213,208,46,909,309,0,0,829,414,37,1,0
"Cluster_4574,contig_0 consensus mapping",751,1032,853,0,899,931,647,0,681,0,0,0,538,7,0,0,497,405,0,0,656,403,1,0,639,229,103,133,764,2155,484,349,890,606,0,0,809,260,78,0,1
"Cluster_178,contig_0 consensus mapping",1037,1242,869,0,708,632,586,0,775,0,0,0,620,1854,2953,8995,662,615,2081,24,720,132,0,0,852,954,3610,1652,923,412,392,60,1111,286,0,12,1081,235,28,16,0
