barcode,I1,I2,I3,1E,1F5,1OD,1OP,1SD,1SM,1SP,2E,2F5,2OD,2OP,2SD,2SM,2SP,3E,3F5,3OD,3OP,3SD,3SM,3SP,4E,4F5,4OD,4OP,4SD,4SM,4SP,5E,5F5,5OD,5OP,5SD,5SM,5SP,C8
"Cluster_13178,contig_0 consensus mapping",441,515,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cluster_5316,contig_0 consensus mapping",347,349,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Cluster_6052,contig_0 consensus mapping",465,559,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_12771,contig_0 consensus mapping",610,741,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_4973,contig_0 consensus mapping",488,557,460,441,318,309,272,0,0,0,10,0,0,2,11,4,0,1,0,0,8,0,0,0,6225,918,1195,5047,12,0,0,6,0,0,2,4,0,0,0
"Cluster_9643,contig_0 consensus mapping",662,690,629,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_4060,contig_0 consensus mapping",337,464,385,96,49,75,40,1,1,0,4,1,2,5,15,0,0,13,1,1,1,14,29,0,2,1,3,28,14,1,0,26417,6516,3588,6733,2777,1195,1272,1
"Cluster_8222,contig_0 consensus mapping",368,411,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_9475,contig_0 consensus mapping",504,674,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_7159,contig_0 consensus mapping",736,886,714,80673,34412,77712,42846,5330,56182,4041,11,13,19,53,189,45381,112,108774,81110,75724,158129,170263,79750,52389,54,30,68,2556,80,89,69054,135,99,38,40,78,16,109,15
"Cluster_1086,contig_0 consensus mapping",428,493,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_159,contig_0 consensus mapping",388,512,418,11798,669,837,1768,0,1,0,3876,8212,7435,8228,11757,2314,4184,0,1,1,3,8,3,2,6,2,1,126,16,2,1,7,5,2,25,5,13,1,0
"Cluster_928,contig_0 consensus mapping",301,340,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_11971,contig_0 consensus mapping",386,413,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"Cluster_8129,contig_0 consensus mapping",468,595,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_4448,contig_0 consensus mapping",351,393,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cluster_8433,contig_0 consensus mapping",657,773,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0
"Cluster_12528,contig_0 consensus mapping",256,263,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_146,contig_0 consensus mapping",318,424,308,1,2,0,0,0,0,0,327,21,12,968,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cluster_143,contig_0 consensus mapping",822,973,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_7581,contig_0 consensus mapping",744,794,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_1792,contig_0 consensus mapping",194,239,208,332,252,197,206,1,2,0,2038,11417,10953,3414,22775,5109,5761,5,0,1,4,7,4,0,9,9,2,140,18,8,0,15,29,1,16,7,19,0,0
"Cluster_5124,contig_0 consensus mapping",615,675,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_14111,contig_0 consensus mapping",270,397,290,0,1,0,0,0,0,0,224,19,5,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"Cluster_1034,contig_0 consensus mapping",538,609,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_4925,contig_0 consensus mapping",371,444,377,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_12714,contig_0 consensus mapping",812,822,799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_2073,contig_0 consensus mapping",469,575,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0
"Cluster_994,contig_0 consensus mapping",379,537,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_9214,contig_0 consensus mapping",863,1018,853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_8799,contig_0 consensus mapping",356,451,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_5394,contig_0 consensus mapping",238,273,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0
"Cluster_15036,contig_0 consensus mapping",272,331,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_160,contig_0 consensus mapping",185,185,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_11319,contig_0 consensus mapping",267,367,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Cluster_3857,contig_0 consensus mapping",663,806,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_6511,contig_0 consensus mapping",399,407,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_3174,contig_0 consensus mapping",537,562,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Cluster_6788,contig_0 consensus mapping",696,864,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_11625,contig_0 consensus mapping",275,271,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_13260,contig_0 consensus mapping",539,662,424,147,152,135,92,0,0,0,0,0,1,7,20,0,0,3,1,0,0,22,11,0,3,0,1,77,19,29,0,37189,6267,2435,5662,15,0,0,0
"Cluster_452,contig_0 consensus mapping",557,528,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_4726,contig_0 consensus mapping",609,565,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"Cluster_3356,contig_0 consensus mapping",792,964,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_14450,contig_0 consensus mapping",194,221,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
