"","TotalReads","Number of barcodes","Ns_MinCutoff","Nb","Ns","AverageFrequency","CFU","Log10Ns","Log10CFU","CFU/Ns"
"U7046",309916,43,44.2105263157895,34.7838377802528,44.2105263157895,45.6073306032593,43,1.64552568510905,1.63346845557959,0.972619047619048
"U7047",244820,67,60,56.0338607642007,69.4736842105263,86.2123104480192,67,1.84182033025302,1.82607480270083,0.964393939393939
"U7048",251713,42,42.1052631578947,28.4565895027703,43.1578947368421,49.1190839930963,42,1.63506025143089,1.6232492903979,0.973170731707317
"L1",230893,423,321.857142857143,111.410388737425,554.470588235294,1512.4260782471,1400,2.74387851404534,3.14612803567824,2.52493104179928
"L10",249669,39,37,14.7350797734873,39,44.6950164015612,46,1.5910646070265,1.66275783168157,1.17948717948718
"L11",217185,56,30,3.09672288984469,57.7777777777778,408.752895820254,4200000,1.76176083419547,6.6232492903979,72692.3076923077
"L12",261733,185,147.5,64.2402568674959,206.142857142857,415.919975122183,4e+06,2.31416829107924,6.60205999132796,19404.0194040194
"L13",474195,531,475.777777777778,28.8681279751007,752.647058823529,1522.83219311266,2600,2.87659136884493,3.41497334797082,3.45447440406409
"L14",663239,790,528,74.732033365712,1502.5,4304.87719159413,6.8e+07,3.17681448067478,7.83250891270624,45257.9034941764
"L2",171029,222,197.8125,65.8504460097595,251.941176470588,427.099331327234,380,2.4012991530183,2.57978359661681,1.50828858276909
"L3",221335,1017,1075,292.954438939131,2855,2918.2844649191,15000,3.45560611258187,4.17609125905568,5.25394045534151
"L4",306491,2,2,1.57826892519286,2,3.11282253378934,160000,0.301029995663981,5.20411998265593,80000
"L5",462409,146,111.764705882353,45.0853252473359,158.666666666667,398.846728743504,4600000,2.20048569800083,6.66275783168157,28991.5966386555
"L6",228354,82,68.8888888888889,43.6916183678164,86.3157894736842,146.229753583894,91,1.93609024709487,1.95904139232109,1.05426829268293
"L7",125387,842,906,252.360187645037,1711,2002.68875563896,25000,3.2332500095411,4.39794000867204,14.6113383985973
"L7094",238099,1247,2467,1630.8520779234,25107,2188.19518641513,34000,4.39979482257822,4.53147891704226,1.35420400685068
"L7095",259777,823,876,289.304087233105,1622,1981.1349592728,4600,3.21005084987514,3.66275783168157,2.83600493218249
"L7096",365370,15,15,11.2116255479111,15,17.0214887389884,9e+05,1.17609125905568,5.95424250943933,60000
"L7097",562077,1018,194.777777777778,2.42665099902095,2831.66666666667,28436.5927058591,1200000,3.4520421284854,6.07918124604763,423.778693349029
"L7098",248407,735,730.333333333333,257.770766486504,1274,1778.35227734235,10000,3.10516942799933,4,7.84929356357928
"L7099",186437,326,299,92.9202427917008,395.5,681.644168132541,1076,2.5971464878337,3.03181227133037,2.72060682680152
"L7100",101606,61,42.1052631578947,30.1870351687843,63.3333333333333,167.304197223862,61,1.80163234623317,1.78532983501077,0.963157894736842
"L9",81341,10,3,1.99462602826819,10,519.310322873803,130000,1,5.11394335230684,13000
"S1",575699,949,1399.66666666667,571.101917993909,2288,1503.64818318413,1280,3.35945602012099,3.10720996964787,0.559440559440559
"S10",754807,64,64,55.562148924546,66,77.4610796088104,71,1.81954393554187,1.85125834871908,1.07575757575758
"S11",334179,209,75.7894736842105,2.4584977940595,236.333333333333,4118.33121937007,2100,2.3735249804634,3.32221929473392,8.88575458392102
"S12",217797,554,655,335.746664686341,804.571428571429,802.918105226832,1004,2.9055646061198,3.001733712809,1.24786931818182
"S13",170428,953,1437,435.770011518106,2314.66666666667,1572.71096882084,2400,3.36448845744877,3.38021124171161,1.036866359447
"S14",230179,47,7,4.31408490005903,48.4210526315789,3117.15912252852,29000,1.68503422639273,4.46239799789896,598.913043478261
"S2",239653,420,418,194.287603215403,547.230769230769,686.385089622528,652,2.73817050854292,2.81424759573192,1.19145347202699
"S3",187295,462,528.909090909091,244.07650663924,623.666666666667,634.612868197342,536,2.79495253278035,2.72916478969277,0.859433458043827
"S4",127384,26,5,2.36166076617342,26.3157894736842,520.211204389428,428,1.42021640338319,2.63144376901317,16.264
"S5",242987,35,33.6842105263158,20.2640222196325,35.7894736842105,46.0977203380737,56,1.55375531175341,1.7481880270062,1.56470588235294
"S6",298839,89,82.3529411764706,67.4579306955596,92.9411764705882,110.686926036902,106,1.96820816557615,2.02530586526477,1.14050632911392
"S7",321935,1015,1121.33333333333,276.562619648393,2931.66666666667,3045.44660152455,1800,3.46711458907382,3.25527250510331,0.61398521887436
"S7094",329989,688,884,221.092556898229,1138.4,1133.97479026466,1500,3.05629488707623,3.17609125905568,1.31763879128602
"S7095",189398,776,788.307692307692,92.5847532712455,1416.33333333333,2428.88594825314,1400,3.15116547636985,3.14612803567824,0.988467874794069
"S7096",147645,42,31.5789473684211,4.41052767663195,43.1578947368421,92.6175516819719,47,1.63506025143089,1.67209785793572,1.0890243902439
