barcode,I1,I2,I3,1F0,1F3,1F4,1F5,2F0,2F1,2F2,2F3,2F4,2F5,3F0,3F1,3F2,3F3,3F4,3F5,4F0,4F1,4F2,4F3,4F4,4F5,5F0,5F1,5F2,5F3,5F4,5F5,C8
"Cluster_13260,contig_0 consensus mapping",539,662,424,573,17485,19,152,474,31,0,2,3,0,549,13,4,3,1,1,844,9,48,0,0,0,833,3364,34629,13986,4339,6267,0
"Cluster_452,contig_0 consensus mapping",557,528,417,486,0,0,0,357,88,0,0,0,0,769,0,0,0,0,0,732,0,0,0,0,0,849,13,0,0,0,0,0
"Cluster_4726,contig_0 consensus mapping",609,565,495,469,0,0,0,466,35,0,0,0,0,596,0,0,0,0,0,777,0,0,0,0,0,822,0,0,0,0,0,0
"Cluster_3356,contig_0 consensus mapping",792,964,770,1174,0,0,0,620,151,0,0,0,0,2041,3,0,0,0,0,1213,0,0,0,0,0,1323,0,0,0,0,0,0
"Cluster_14450,contig_0 consensus mapping",194,221,143,198,0,1,0,155,22,0,0,0,0,241,0,0,0,0,0,282,0,1,0,0,0,291,0,0,0,0,0,0
"Cluster_2433,contig_0 consensus mapping",391,429,328,438,0,0,0,343,56,0,0,0,0,417,3,0,0,0,0,600,0,0,0,0,0,647,0,0,0,0,0,0
"Cluster_11369,contig_0 consensus mapping",263,344,275,356,0,0,0,265,25,0,0,0,0,395,0,0,0,0,0,503,2,0,0,0,0,553,0,0,0,0,0,0
"Cluster_6250,contig_0 consensus mapping",303,322,272,306,0,0,0,261,61,0,0,0,0,309,0,0,0,0,0,416,0,0,0,0,0,520,8,0,0,0,0,0
"Cluster_2803,contig_0 consensus mapping",221,247,146,198,0,0,0,151,19,0,0,0,0,230,0,0,0,0,0,271,0,0,0,0,0,260,0,0,0,0,0,0
"Cluster_7007,contig_0 consensus mapping",406,454,413,436,68550,25943,124,269,870,17070,18520,4098,2060,546,2,0,5,15,0,584,0,0,9,0,0,627,1,5,6,0,2,0
"Cluster_1598,contig_0 consensus mapping",494,516,435,464,0,0,0,358,144,0,0,0,0,591,0,0,0,0,0,630,0,0,0,0,0,703,0,0,0,0,0,0
"Cluster_4574,contig_0 consensus mapping",340,363,331,349,0,0,0,239,75,107,350,21,15,570,0,0,0,0,0,448,0,0,0,0,0,494,0,0,0,0,0,0
"Cluster_178,contig_0 consensus mapping",368,430,346,402,0,0,0,286,64,0,0,0,0,488,0,0,0,0,0,531,0,0,0,0,0,590,0,0,0,0,0,0
"Cluster_14852,contig_0 consensus mapping",287,320,231,316,0,0,0,217,63,0,0,0,0,332,0,0,0,0,0,411,0,0,0,0,0,437,1,0,0,0,0,7439
"Cluster_1969,contig_0 consensus mapping",422,452,353,374,1,0,0,281,35,0,0,0,0,495,0,0,0,0,0,581,0,1,0,0,0,551,0,0,0,0,0,0
"Cluster_14204,contig_0 consensus mapping",526,501,382,547,0,0,0,445,52,0,0,0,0,560,2,0,0,0,0,721,0,0,0,0,0,677,13,0,0,0,0,0
"Cluster_4805,contig_0 consensus mapping",283,331,292,295,0,0,0,299,17,0,0,0,0,373,0,0,0,0,0,506,0,0,0,0,0,541,0,0,0,0,0,0
"Cluster_7188,contig_0 consensus mapping",353,404,313,307,0,0,0,239,52,0,0,0,0,306,0,0,0,0,0,462,0,0,0,0,0,458,8,0,0,0,0,0
"Cluster_8641,contig_0 consensus mapping",246,296,239,257,6222,1398,324,199,34,155,233,12,30,317,7,1,0,3,1,443,11191,14979,4304,4835,2297,457,1,5,0,1,1,0
"Cluster_13922,contig_0 consensus mapping",406,379,354,509,0,0,0,372,102,0,0,0,0,601,0,0,0,0,0,674,0,0,0,0,0,680,0,0,0,0,0,0
"Cluster_5776,contig_0 consensus mapping",324,411,362,411,0,0,0,346,185,0,0,0,0,467,6,0,0,0,0,613,0,0,0,0,0,658,11,0,0,0,0,0
"Cluster_5556,contig_0 consensus mapping",206,226,214,221,0,0,0,182,25,0,0,0,0,257,0,0,0,0,0,362,0,0,0,0,0,375,0,0,0,0,0,0
"Cluster_12998,contig_0 consensus mapping",212,242,189,250,0,0,0,207,16,0,0,0,0,321,0,0,0,0,0,305,0,0,0,0,0,365,1,0,0,0,0,0
"Cluster_5805,contig_0 consensus mapping",307,294,256,312,0,0,0,220,32,0,0,0,0,795,0,1,0,1,0,346,0,0,0,0,0,305,0,1,0,0,0,0
"Cluster_11545,contig_0 consensus mapping",378,480,336,406,0,0,0,333,41,0,0,0,0,548,0,0,0,0,0,587,0,1,0,0,0,650,0,0,0,0,0,0
"Cluster_11809,contig_0 consensus mapping",282,328,239,338,1,2,8,255,701,4099,1005,2044,682,684,4,0,0,0,1,437,0,0,1,0,0,448,0,0,0,0,0,0
