barcode,1F0,1F3,1F4,1F5,1OD,1OP,1SD,1SM,1SP,2E,2F0,2F1,2F2,2F3,2F4,2F5,2OD,2OP,2SD,2SM,2SP,3E,3F0,3F1,3F2,3F3,3F4,3F5,3OD,3OP,3SD,3SM,3SP,4E,4F0,4F1,4F2,4F3,4F4,4F5,4OD,4OP,4SD,4SM,4SP,5E,5F0,5F1,5F2,5F3,5F4,5F5,5OD,5OP,5SD,5SM,5SP,C8
"Cluster_994,contig_0 consensus mapping",495,0,0,0,0,0,0,0,0,0,374,134,0,0,0,0,0,0,0,0,0,0,393,0,1,0,0,0,0,0,0,0,0,0,678,7,0,0,0,0,0,0,0,0,0,0,625,1,1,0,0,0,0,0,0,0,0,0
"Cluster_9214,contig_0 consensus mapping",1023,0,0,0,0,0,0,0,0,0,762,99,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0,0,0,0,0,0,0,0,1364,0,0,0,0,0,0,0,0,0,0,0,1331,10,0,0,0,0,0,0,0,0,0,0
"Cluster_8799,contig_0 consensus mapping",464,0,0,0,0,0,0,0,0,0,358,89,0,0,0,0,0,0,0,0,0,0,564,0,0,0,0,0,0,0,0,0,0,0,637,0,0,0,0,0,0,0,0,0,0,0,594,0,0,0,0,0,0,0,0,0,0,0
"Cluster_5394,contig_0 consensus mapping",281,0,0,0,0,0,0,0,0,0,211,77,0,0,0,0,0,0,0,0,0,0,304,1,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,6,0,0,0,344,2,0,0,0,0,0,0,0,1,0,0
"Cluster_15036,contig_0 consensus mapping",378,0,0,0,0,0,0,0,0,0,290,98,0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0,472,0,1,0,0,0,0,0,0,0,0,0,509,0,0,0,0,0,0,0,0,0,0,0
"Cluster_160,contig_0 consensus mapping",205,0,0,0,0,0,0,0,0,0,113,51,0,0,0,0,0,0,0,0,0,0,555,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,287,4,0,0,0,0,0,0,0,0,0,0
"Cluster_11319,contig_0 consensus mapping",403,0,0,0,0,0,0,0,0,0,308,98,0,0,0,0,0,0,0,0,0,0,453,0,0,0,0,0,0,0,0,0,0,0,488,10,0,0,0,0,0,0,3,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0
"Cluster_3857,contig_0 consensus mapping",777,0,0,0,0,0,0,0,0,0,649,110,0,0,0,0,0,0,0,0,0,0,917,0,0,0,0,0,0,0,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,1069,0,0,0,0,0,0,0,0,0,0,0
"Cluster_6511,contig_0 consensus mapping",378,0,0,0,0,0,0,0,0,0,286,220,0,9,0,0,0,0,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,654,0,0,0,0,0,0,0,0,0,0,0,614,0,0,0,0,0,0,0,0,0,0,0
"Cluster_3174,contig_0 consensus mapping",661,2,0,0,0,0,0,0,0,0,515,34,0,0,0,0,0,0,0,0,0,0,591,2,0,0,0,0,0,0,0,0,0,0,874,19,0,0,0,0,0,0,0,0,0,0,902,0,0,0,0,0,0,0,0,0,0,1
