"","I0A","I0B","I0C","A1C","A1E","A1M","A1O","A2C","A2E","A2M","A2O","A3C","A3E","A3M","A3O","A4C","A4E","A4M","A4O","B1C","B1E","B1M","B1O","B2C","B2E","B2M","B2O","B3C","B3E","B3M","B3O","B4C","B4E","B4M","B4O","C1C","C1E","C1M","C1O","C2C","C2E","C2M","C2O","C3C","C3E","C3M","C3O","C4C","C4E","C4M","C4O"
"B1E",0.0409436524678027,0.0469149184906849,0.0468495244286267,0.0408785143584949,0.035891117758466,0.0374629447143697,0.0378199054055689,0.0414089769271655,0.0361761212054511,0.0390015979018429,0.0410465501428835,0.0404228610955339,0.0474654568624038,0.0372093058980364,0.0451769791170997,0.0410229667395799,0.0503413768788885,0.046669843188465,0.084048230274533,0.0423714508520547,0,0.0403089851747815,0.0476956038379088,0.0440136636324414,0.0366125536604682,0.0441621337413194,0.0554088640993723,0.0414482826330267,0.0594920101936052,0.0392034110492654,0.10002718264256,0.0414109068052051,0.0488118867449149,0.042086340550467,0.0609184807396586,0.48425944688225,0.753341637862343,0.208031406944763,0.843992582396383,0.101770667260142,0.731093186419994,0.127290051812866,0.52711331909687,0.22685021974479,0.769845417238866,0.0967065302646743,0.826082462471272,0.06364877591125,0.685704963102799,0.399291345050211,0.555654202364628
"B1M",0.0342843684200147,0.0378245419779944,0.0379297209634671,0.0289813095064231,0.0334230205463914,0.0294429202066136,0.0319194281623335,0.0279662834731807,0.0264731076253674,0.0279221601111754,0.0332394563762434,0.0266923802001155,0.0339886271538697,0.0286946231665627,0.0383565667006744,0.0391822394322159,0.0402092855239399,0.0403706847811335,0.0799570507462861,0.0265993739239385,0.0403089851747815,0,0.0478278247707654,0.0349026380017255,0.0251044860671898,0.0273826313242517,0.0508054064461985,0.0291390045922562,0.0496909684105691,0.0264833481598605,0.0898109707413257,0.0312063566459983,0.0379675988264896,0.0313016552213279,0.0542238215159806,0.476983933573259,0.751733574873848,0.207951131788055,0.850559039140354,0.0977239551826847,0.734486649956892,0.127011703266848,0.530332697566006,0.225028561867011,0.771790096958646,0.0926267595723551,0.825427829625133,0.0603631202572638,0.685845894944855,0.400245101019291,0.553276825135972
"B1O",0.0450099201953255,0.0512173273650509,0.0473910636606401,0.0466752037982861,0.0443494545094237,0.0461955656081172,0.0457317570453713,0.0469243934601089,0.0406581307371667,0.0471735237849574,0.046058360009407,0.0447832890269489,0.0490292082620694,0.0441413636393332,0.0533650453742461,0.0493620274216428,0.0527813814600742,0.0550432785343134,0.0875393660425654,0.0480207733370601,0.0476956038379088,0.0478278247707654,0,0.0492414217505321,0.0422757253741434,0.0478164682977345,0.0615953226345681,0.0461378760055495,0.0613117833942121,0.0458996503189065,0.09807082284283,0.0464359572602628,0.0438054810103393,0.0484806909760355,0.0623152117649128,0.485072563297524,0.752598618654276,0.210180260529729,0.846513341712384,0.104562129526442,0.730208161223883,0.127319140102324,0.52898816497224,0.231753338180458,0.771209655596542,0.0970623781584977,0.824771072682361,0.069573070214449,0.688062635583656,0.402976656946003,0.553513697767805
"B2C",0.035350877942758,0.0386274345676084,0.0391168240564163,0.0338830577107874,0.0421989870977646,0.0352512793905604,0.0369244806646202,0.0327906966002809,0.031254139864598,0.0327830103203178,0.0386502038200717,0.0339835884736403,0.0351285594161727,0.0353900180729038,0.0400997606810666,0.0449641941595023,0.0399536709259533,0.0453006061790022,0.0799659271363731,0.0322419730382462,0.0440136636324414,0.0349026380017255,0.0492414217505321,0,0.0346448162930776,0.0369332738708091,0.0559657272111491,0.033140475739952,0.0502884326469755,0.0355967631827155,0.0940079685065553,0.0382858320607212,0.0370741639989264,0.0384694522954115,0.0538527325139184,0.48093945081278,0.755610788591078,0.205549012471408,0.847423605007839,0.0968073718282521,0.733435053700983,0.125900003178719,0.529060941658516,0.224677606361141,0.771963628689848,0.0952128088315114,0.825546902086759,0.0634264575279495,0.686079095474696,0.400456668853772,0.55470304761171
"B2E",0.0308512545787296,0.0383347685719764,0.0366049135582976,0.0295623716436808,0.0302741959268586,0.0306439821263934,0.0298213821181472,0.0303327839938403,0.0241820824702632,0.0297871132713803,0.0325910657646602,0.0277446753225862,0.0349075285908687,0.0290867814527043,0.0383685997153842,0.0385088848677603,0.0404548062692112,0.0394522466555119,0.0788925078501008,0.0305483687970794,0.0366125536604682,0.0251044860671898,0.0422757253741434,0.0346448162930776,0,0.0296856743617962,0.0486299186047508,0.0285622201883668,0.0489408648319217,0.0277176578974226,0.0886101988818963,0.0319244699122892,0.0374537995073233,0.0323621870028009,0.0534636348386291,0.480478115938744,0.75238014754929,0.209060700299802,0.848597106766596,0.0963922624270855,0.733960422047208,0.127606978508356,0.528823178493689,0.223690934043811,0.771162365829245,0.0940068506019751,0.825090952081339,0.06037460376443,0.686368108614635,0.399654872452768,0.555089625928719
"B2M",0.0372938771604665,0.0401025971218051,0.0420486606272866,0.0333076890936137,0.0383675355599762,0.0324965026664214,0.0361320897582053,0.0327794577947027,0.0296325692848367,0.0310051823192847,0.0361041761156106,0.02987651350257,0.0360450007312519,0.0317067608454028,0.038399817798008,0.0424037603128891,0.0435157491584783,0.042138228939948,0.0814652024478237,0.0303034749020302,0.0441621337413194,0.0273826313242517,0.0478164682977345,0.0369332738708091,0.0296856743617962,0,0.0557863994783124,0.0320716473528356,0.0499059392006985,0.0285507863200133,0.0890541242710529,0.0337924494022416,0.0377851203700154,0.0317264872988225,0.0551575063642633,0.478341644175295,0.752317035764529,0.204953330325297,0.849065773122765,0.0961560342866337,0.733245154732732,0.125846214804618,0.529352339636382,0.226089171956738,0.771548556432295,0.0958424800163594,0.825687944548907,0.0609702266293048,0.68484605620216,0.399796697799898,0.554257272362168
"B2O",0.0555277909711474,0.0577267058844573,0.0551203620858595,0.0541694764260226,0.0531319349103486,0.0535909672957979,0.0522727995847926,0.0544980686125352,0.0510214830003478,0.0540566015266696,0.053953436099717,0.0519416482237255,0.05652534999331,0.0531621294739667,0.0576041298199218,0.0577064832820074,0.0582005069533255,0.061538527868538,0.0901286189042221,0.0548569564312525,0.0554088640993723,0.0508054064461985,0.0615953226345681,0.0559657272111491,0.0486299186047508,0.0557863994783124,0,0.0515816441064956,0.0703693760559845,0.0545254031035731,0.0994935120327213,0.0554071532269384,0.0598707358057945,0.0567502251397735,0.0709266280992392,0.478445206500604,0.753221460140188,0.214556955853388,0.848056803920831,0.105049575315698,0.731353064542477,0.132735127761048,0.530146958801965,0.22641764802228,0.77038672129013,0.109416619340937,0.825240859890226,0.0737529526886507,0.68428783156968,0.400509922559275,0.559084484297583
"B3C",0.0321971794426175,0.0370801446440502,0.036503299830861,0.0292911347209867,0.0352680480544733,0.0300618620919634,0.0332797788764818,0.0300733035254882,0.0267318889861826,0.028288990599014,0.0358393786585098,0.0296667915311443,0.0339747698726037,0.0298620706947942,0.0374838751951169,0.0398359455897288,0.0380090852019245,0.0397820642415034,0.0792576194197039,0.0287519677774599,0.0414482826330267,0.0291390045922562,0.0461378760055495,0.033140475739952,0.0285622201883668,0.0320716473528356,0.0515816441064956,0,0.0464891368576854,0.0292034744980892,0.0911769469725714,0.0314330306503407,0.0376203115603823,0.0337208301835791,0.0533816399764306,0.482693840573455,0.753450147122346,0.2077807805816,0.850058977790378,0.0995565553838084,0.735014293050356,0.127472516852265,0.527448022742824,0.222363161794331,0.771656412970406,0.0960009665403804,0.82586818542623,0.0622720949098457,0.685883184111982,0.398439399725931,0.555137661893635
"B3E",0.0465467064087698,0.0504259216714269,0.0521847390864464,0.0468235291065164,0.0600611725989254,0.0478994633684852,0.0557196155478636,0.0491785827088373,0.0462640519561491,0.052662500568033,0.0517991761731763,0.0505876949476698,0.0454504439204142,0.051702392780512,0.0540846184890095,0.0588833357924962,0.0525250046260522,0.0626306715041094,0.0909113473670623,0.0489741477105769,0.0594920101936052,0.0496909684105691,0.0613117833942121,0.0502884326469755,0.0489408648319217,0.0499059392006985,0.0703693760559845,0.0464891368576854,0,0.0519735937162483,0.0965854474578963,0.0558014502108146,0.0521458432335508,0.0572696298360266,0.064818320421124,0.483062512169763,0.755419998133453,0.207617103785025,0.846878379440406,0.106499565425623,0.734283456035065,0.130896795460499,0.537001265051325,0.228851226719717,0.770192881103473,0.101941177019401,0.826496737617774,0.0736325783496087,0.687686851757708,0.405687978099726,0.555325587216508
"B3M",0.0339778157808343,0.0391818944635908,0.0380872231839875,0.0318327987290787,0.034440160471455,0.0288830927858316,0.0338813695526889,0.029729996740397,0.0252302475114607,0.0262409697909935,0.0342638729370792,0.0277948974855436,0.0372023237632664,0.0271149862337764,0.0353072379454917,0.0379445085770109,0.0428909198189407,0.0390993381309846,0.08152994031031,0.0289496954511202,0.0392034110492654,0.0264833481598605,0.0458996503189065,0.0355967631827155,0.0277176578974226,0.0285507863200133,0.0545254031035731,0.0292034744980892,0.0519735937162483,0,0.0903686643486061,0.0310444397501664,0.0383153338845418,0.029595566604022,0.0546313353829724,0.479881492622323,0.752301331919773,0.20642056810411,0.851047707508182,0.0959832182501811,0.734606314080327,0.127893210384709,0.527678886984173,0.225634320415318,0.773255974281654,0.0948341209214901,0.825015638500797,0.0602202981357263,0.686097588961906,0.399632257110881,0.554613438495545
