barcode,in.0bp5,in.0ap4,in.0a,in.0b,in.0c,bile19,bile20,brain20,kidney20,l1,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,l2,l3,l4,l5,l6,l7,l8,l9,liver20,s1,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s2,s3,s4,s5,s6,s7,s8,s9,spleen20
"Cluster_27148,contig_0 consensus mapping",748,356,438,385,289,0,0,12,0,0,5436,1,0,0,2946,0,3,0,5903,0,10,0,0,0,1,0,0,0,4,0,0,1,0,7,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0
"Cluster_10758,contig_0 consensus mapping",881,356,486,464,373,0,4,0,0,4,0,0,0,4,0,4120,2,7,0,0,0,1,0,0,0,1,0,8350,9,0,1,1,1,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0
"Cluster_19444,contig_0 consensus mapping",868,432,492,457,369,2,0,0,0,0,0,0,1914,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0
"Cluster_20529,contig_0 consensus mapping",811,367,461,439,383,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_16093,contig_0 consensus mapping",804,332,414,388,320,14,0,0,11,0,0,1565,11,0,3999,6,0,0,0,0,0,1,10,0,3,7,10,0,6,4,7,1686,0,0,0,6,0,0,2,2,10548,2,0,0,0,14282,0,1,149
"Cluster_31560,contig_0 consensus mapping",601,318,398,341,270,0,0,0,0,0,0,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,0,0,0,1,0,0,0,5207,2,4,2,0,0,0,0,0,0,0
"Cluster_29041,contig_0 consensus mapping",678,336,458,384,305,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_5602,contig_0 consensus mapping",478,245,269,238,196,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,118,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cluster_516,contig_0 consensus mapping",855,359,469,411,384,4,0,2,1,0,1,3324,4,8,0,0,1,349,1914,7,2,1,1,16,0,0,0,1,11,0,0,0,1,0,0,3246,17100,0,0,0,0,1,0,1,0,1,5,0,3
"Cluster_11804,contig_0 consensus mapping",772,350,448,389,320,0,0,0,0,0,0,12908,0,0,1,0,1,0,0,21,0,16,0,0,0,0,1,0,27,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,5,0,0,0,3520
