barcode,s61_vc12,s40_vc16,s41_vc16,vc1,vc2,vc10,vc11,vc12,vc13,vc14,vc15,vc16,vc17,vc18,vc19,vc20,vc21,vc22,vc23,vc24,vc25,vc26,vc27,vc28,vc29,vc3,vc30,vc31,vc32,vc33,vc34,vc35,vc36,vc37,vc38,vc39,vc4,vc40,vc41,vc42,vc43,vc44,vc45,vc46,vc47,vc48,vc49,vc5,vc50,vc51,vc52,vc53,vc54,vc55,vc56,vc6,vc7,vc8,vc9,s34_vc5,s1_vc5,s2_vc5,s3_vc5,s4_vc5,s5_vc5,s6_vc5,s7_vc5,s8_vc5,s9_vc5,s10_vc5,s11_vc5,s12_vc5,s13_vc5,s14_vc5,s15_vc5,s16_vc5,s17_vc5,s18_vc5,s19_vc5,s20_vc5,s21_vc5,s22_vc5,s23_vc5,s24_vc5,s25_vc5,s26_vc5,s27_vc5,s28_vc5,s29_vc5,s30_vc5,s31_vc5,s32_vc5,s33_vc5
lm66 mapping,8976,2498,2040,1187,395,10,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,11223,0,0,0,0,10,0,0,1,13,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,17,0,1,0,1,0,0,0,0,0,0,1113,0,1,0,0,0,0,3,2,5,0,0,0,0,0,3,1,2,2,0,0,0,0,4,3,2,0,0,0,0,0,1,1,3
lm67 mapping,5931,477,1034,726,272,0,1,96,0,31,8,32,66217,54,1004,72471,5,62765,8072,32504,94,0,1,84,0,1,69,14,25,2777,0,0,72,1,69,8,39,42,86,1,1,152,0,102,26,41,84,0,0,1,138,1,97,19,26,65,12,37,50,749,3,0,0,9,4,0,0,5,3,209,5,5,0,0,0,3,1,0,0,9,1,0,0,3,1,3,0,8,5,0,0,2,2
lm68 mapping,9264,1563,4167,1120,336,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,285,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2335,1,0,0,0,0,3,2,2,2,0,0,0,0,2,0,1,1,208,0,0,1,4661,1,4,1,0,0,0,1,5,2,4,90
lm69 mapping,4742,0,3050,656,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,523,0,13,0,0,3,0,0,1,3,11,0,0,1,0,0,2,1,10,0,0,6,0,0,1,3,9,0,0,0,0,0,1,3
lm70 mapping,2028,0,0,266,110,56,170,190555,151172,3168,2,0,0,0,6,211,92,37,0,0,0,0,3,286,203,6978,42,0,0,0,0,5,165,160,41,0,22844,0,0,0,9,374,204,67,0,0,0,132,0,4,372,133,23,0,0,43235,3,0,2,299,0,1,0,0,0,48,7,2,0,0,0,0,5,48,7,1,0,2,0,0,2,28,7,1,0,0,0,0,1,45,10,1,0
lm71 mapping,1667,0,1356,416,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,369,0,1,0,0,0,9,0,9,0,0,1,0,2,11,0,4,0,10,0,0,1,6,0,0,0,0,0,1,0,20615,3,4,0
lm72 mapping,3668,1176,662,484,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,0,1,0,0,0,0,1,35,4,0,2,0,0,0,2,1,2,245,0,0,1,0,3,3,0,518,0,0,1,94,5,1,0
lm73 mapping,7295,0,0,869,278,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1396,0,0,12,13,0,0,0,0,0,0,0,1,1068,1,16,0,0,0,2,2,0,4,693,7,0,0,0,2,0,6,6,0,0,0,235,3,2,6,16,0,0,1,0,2,2,1
lm74 mapping,5146,243,903,834,217,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,662,0,3,0,0,0,2,0,2,0,1475,0,0,0,2,0,1,1,1,0,0,0,44,0,0,0,0,0,0,0,1,0,2,1
lm75 mapping,1183,512,1904,179,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,1,0,0,0,2,42,2,0,0,0,0,0,1,34,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
lm76 mapping,1235,0,0,387,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0,0,0,0,0,0,145,0,1,0,0,0,0,0,172,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,188,0,2
lm77 mapping,4775,2926,2408,931,241,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,21,0,0,1,2,0,0,0,0,0,0,0,171,0,1,0
lm78 mapping,8090,3862,5720,1543,457,0,4,0,0,0,0,0,1,0,0,20,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,5,0,0,0,0,0,3,0,0,944,0,0,0,0,0,0,0,0,1,1798,1,2,0,0,2,1,0,1716,4,2,6,0,4,0,0,3,4,6,0,0,3,0,0,5,5,6,0,0,2,1,0,4,0
lm79 mapping,4972,0,1905,897,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,778,2,0,0,0,0,0,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,3
lm80 mapping,5444,1806,1023,909,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,840,4,2,0,0,1,1,0,19,1,2,0,0,0,1,0,5,1,48,0,0,1,2,0,9,4,2027,143,99,3,1765,1,20667,31
lm81 mapping,4769,2505,1500,736,258,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,695,0,2,0,33,0,2,8,29,1,1,0,40,2,4,5,19,0,0,0,39,1,16,9,26,1,33,0,79350,133,333,25,53,5
lm82 mapping,1066,0,0,283,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
lm83 mapping,5544,2093,1351,939,338,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,831,1,2,0,0,0,0,0,14,3,0,0,0,0,0,0,15,0,17,0,0,0,1,0,18,2,1,0,0,49,1,0,8754,392
lm84 mapping,1067,34,1092,163,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,1,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
lm85 mapping,13600,652,12777,2039,607,1,10,0,0,0,0,0,1,1,19,0,0,0,0,0,2,1,17,0,0,9,0,0,0,0,0,12,0,0,0,0,0,0,2,1,13923,0,0,0,13,0,0,0,0,22,0,0,0,0,0,0,0,0,2,1791,6,2,0,0,97800,131,5,2227,7,156,0,0,41,2,4,3,5,64,0,0,20,1,4,1,2,0,0,0,49,2,5,5,4
lm86 mapping,7712,2523,6583,1229,384,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1053,3,4,0,135,0,1,0,2,4,0,0,204,0,3,5,3,3,1585,0,140,0,449,4,2,3,1,0,204,2,4,4,2,4
lm87 mapping,4021,968,2372,1063,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,978,0,1,0,0,2,3,0,755,0,0,0,0,2,1,4,0,0,0,0,0,3,527,6,0,0,0,0,0,2,3,5,1,1
lm88 mapping,1122,595,0,182,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,239,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm89 mapping,4433,1909,3104,603,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,527,1,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,1,0,0,0,0,778,0,0,3,0,0,0,1,1,0,0,1
lm90 mapping,2029,0,0,334,105,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0
lm91 mapping,3456,1145,3876,556,165,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,652,0,0,0,0,0,0,0,46,1,1764,131,0,0,0,0,0,0,13,0,0,1,0,0,0,0,3,0,0,1,0,0,0,1
lm92 mapping,766,0,0,121,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,1,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm93 mapping,15187,1942,15118,2673,694,1,946,2,0,0,0,0,8,0,366,1,0,0,0,0,137,75,451,380,0,210,10,0,0,4,434,6981,0,0,0,4,0,1,21,3,923,0,0,16,2,188,7046,0,12,239462,3,0,0,114,1,1,0,0,21,2519,26,101,2,1,6223,1899,11,259827,21196,93,322,0,4,64,15,105,10,61,0,0,3,99,8,84,18,96,0,0,2,75,21,158,168
lm94 mapping,8032,1624,11101,1261,389,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,2,1236,2,0,0,0,4,0,3,1,6,0,0,0,2,0,5,0,2,1,0,0,1,207,8,0,4,1,0,0,3,28,8,1,429
lm95 mapping,838,343,0,215,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
lm96 mapping,1205,0,1850,207,66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,267,1,0,0,0,0,2,8,0,0,0,0,0,3,0,9,0,0,23,0,0,0,2,9,0,3,0,0,0,2,1,10,0,1
lm97 mapping,3614,606,2624,410,172,0,1,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,5,0,0,2,0,0,0,1,0,6,0,0,0,0,0,0,0,0,5503,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,1,534,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
lm98 mapping,12283,4330,2448,1598,450,0,0,2,0,0,0,0,182,0,0,2,0,0,0,0,342806,0,0,1871,0,0,633,0,0,231,0,0,2,0,2,0,0,0,296,1,0,0,0,0,0,0,211,0,0,0,0,1,0,2,0,26,0,0,189,1306,2,0,0,0,0,0,15,2,2,14,0,0,2,0,15,1,2,14,0,0,0,0,26,3,1,1,0,0,0,0,21,2,1
lm99 mapping,5324,1042,2634,1217,405,0,0,57,0,38,0,0,2,0,0,5,0,95,0,0,2,83,0,3057,10,0,88227,0,0,0,0,0,4,0,88,0,2,0,1,0,0,3,0,108,0,0,2,0,0,0,1,0,84,0,0,73,0,0,2,1237,29,1,0,0,0,0,0,6,25,1,0,0,1,0,0,4,24,6,0,0,0,1,10,11558,32,598,0,19,2,145,58,15,29506
lm100 mapping,13035,2112,4097,1882,574,63101,2,3936,0,41,0,0,54,87,0,18,0,0,0,0,1,90,0,13,0,0,0,0,0,1,45,0,8,0,0,0,7498,0,2,121,0,19,0,0,0,0,3,0,115,0,18,0,0,0,0,6,0,0,1,1786,8,3,0,52,5,2,4,546,10,0,1,66,2,2,3,0,5,719,0,34,1,978,2,2,6,2,0,50,0,10,3,2,4
lm101 mapping,5067,1214,4515,810,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867,0,0,3,0,0,1,7,15,5,0,0,0,0,0,4,0,0,0,1,0,0,880,7,0,3,1,0,0,0,3,3,0,0
lm102 mapping,7866,4372,3400,1334,306,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1379,1,0,0,68,1,0,0,2,0,0,0,73,1,0,0,3,0,9,0,70,0,0,0,4,2,1,0,134,1,0,0,1,1
lm103 mapping,959,0,0,154,53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm104 mapping,1726,1261,2936,363,133,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,463,0,0,0,0,0,230,0,13520,3,0,25,0,0,1,1,6,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,3,1
lm105 mapping,2249,101,3222,274,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,1,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,14,2,0
lm106 mapping,10594,981,3018,1600,607,206,68,4,28,49203,55989,28819,51293,176751,4,3848,17093,136,172,1660,71,251,0,3,27,0,57,102,26,38,90,1,2,19,57,104,3,45,75,304,0,13,31,99,144,48,50,5,187,0,2,9,88,104,29,71,101,54,45,1495,2,36,0,130,30,238,211,7390,5,24,23,131,40,110,258,3,2,12027,0,117,25,135,243,7,124,50228,561,292576,63359,298827,452312,516,398
lm107 mapping,1351,0,1812,259,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
lm108 mapping,3021,467,2892,474,140,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,0,0,0,0,0,0,23,5549,7,117,0,0,0,2,31,1,2,0,0,0,0,2,20,3,1,0,0,0,0,3,40,3,2
lm109 mapping,6178,1742,3026,696,238,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,795,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,761,11,4,205,212,0,10,211,45,90,3,225,210,1,10,279466,38054,11197,146,412461,416313,3,11395,159,25,11,7,294,341,1,22,273,38,10
lm110 mapping,1468,946,1530,152,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25,0,0,2,0,0,0,0,0,0,1,2,896,0,1,1
lm111 mapping,4948,1099,2374,907,272,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,957,1,0,0,0,8,1,0,0,2,0,0,0,5,1,0,0,0,35,0,0,3,77,1,3,2,1015,0,29,1361,1620,225,173,6
lm112 mapping,9618,0,1875,1812,568,0,12,30,78,77,152,19,61,2,4,33,46,187,179,32,79,1,8,3316,103,0,223,1008,31,50,204,678,3535,81309,221327,370216,8,42779,80844,461,12,17893,1701,298,711,34,156,42,4,2359,34,40,150,253,26,154,303,30,50,1595,5,110,10,0,69,81,5497,5542,6,134519,76,0,94,4,3,2,12,3094,20202,0,166624,4,4,8,4,77,11,0,120,1,8,4,4
lm113 mapping,3366,1813,1494,687,161,0,4,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3547,38,0,0,2,0,1,0,0,7,0,0,0,0,0,0,0,0,0,574,0,0,0,0,0,0,52,0,1,0,0,0,2,0,44,0,1,0,0,0,1,0,53,0,0,0,0,0,3,0,88,2,0
lm114 mapping,4681,0,0,847,319,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,0,0,0,0,4,0,1,135,5,0,2,0,8,0,3,0,1,0,0,0,2,0,3,0,0,0,0,0,5,1,6,0,1
lm115 mapping,5336,633,876,686,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,837,3,1,0,0,3,0,0,1,2,1,0,0,4,0,0,1,1,0,0,0,4,0,0,2,1,0,0,0,8,0,0,0,3
lm116 mapping,10324,1384,10660,1709,422,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1979,1,0,136,0,0,6,0,0,5,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,3,1676,3,1,0,0,0,0,2,4,4,0,0,0,0,2,4,3,2,31,0,0,0,1,3,4,1,0,0,0,0,3,3,5,2
lm117 mapping,6369,1630,5529,744,281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,881,1,1,0,0,164,0,1,87,1,1,0,0,230,1,3,0,1,15,0,0,130,351,3,3,1,1,0,0,180,2,3,4,0
lm118 mapping,4288,667,122,528,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,0,1,0,1,1,0,14,0,0,0,0,2,1,0,17,0,0,0,0,2,1,0,14,3,1,0,0,2,2,0,17,0,1
lm119 mapping,7459,1894,4055,1311,456,3,0,27,0,0,0,0,23,0,0,24,0,0,0,0,29,0,0,20,1,0,0,0,0,9,1,0,202,0,0,0,12,3,25543,1,0,26921,715,0,0,0,43,0,0,0,39,0,1,0,0,1,0,0,13,1227,7,7,3,0,2,6,19410,2,0,6695,5,0,2,6,15,0,0,7,4474,0,1,10,12,0,0,3,6,0,1,8,10,1,0
lm120 mapping,4753,1141,2079,749,194,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,12,0,0,0,0,8,55,0,6923,0,0,0,0,0,0,0,0,0,0,0,12,616,1,2,0,0,0,481,0,5690,1,0,0,0,1,1,0,0,1,0,0,0,2,83,0,0,1,1,0,0,0,0,0,3,0
lm121 mapping,5268,612,2389,738,222,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740,2,0,32,0,18,0,0,0,1,0,86,0,13,0,0,0,2,3,48,0,9,1,0,0,2,395,280,29,30690,742,25,27,2
lm122 mapping,2706,0,0,331,120,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,410,546,0,0,0,18324,738,0,10359,36,0,0,0,16,3,0,3,0,0,0,0,6,3,0,2,0,0,0,0,11,3,0,7,141
lm123 mapping,2352,1129,972,494,159,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,540,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
lm124 mapping,4300,1039,0,452,134,0,19,85,0,4,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,2990,0,0,0,493,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,16,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0
lm125 mapping,5186,2465,302,720,252,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,739,2,0,0,4,2,1,0,37,1,0,0,9,2,0,0,0,0,2,0,7,2,0,0,1,2,2,0,11,2,1,0,0,0
lm126 mapping,1111,244,0,249,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lm127 mapping,1527,759,2784,554,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,324,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,1,0,2,2,0,0,0,0,5,0,2,2
lm128 mapping,3320,2751,108,758,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,679,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,44,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0
lm129 mapping,2867,1678,1049,402,103,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,8,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0
lm130 mapping,8052,4128,164,1078,333,24,0,2,0,0,0,0,7,13,0,1,0,0,0,0,12,40,0,0,0,0,0,0,0,6,13,0,0,0,0,0,1,0,23,33,0,0,0,33,50,0,7563,0,13478,0,67,0,11,0,0,0,0,0,14,978,11,7,8,8,0,1,0,1,17,15,3,7,0,1,0,1,5,6,4,2,0,0,195,448,13,16918,8252,14377,0,4544,18,1,27321
lm131 mapping,4702,464,1436,690,210,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,734,8,1,0,0,2,0,4,2,10,0,0,0,1,0,2,1,6,17,0,0,0,1,2,3,5,0,0,0,1,0,6,2,9
lm132 mapping,703,883,2050,149,39,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,1
lm133 mapping,12693,1997,5006,1767,504,1,181363,27,0,9,108,0,2,0,279,4,0,31,0,0,6,2,249,7,0,189,25,1,0,3,0,185,4,0,21,0,5552,0,10,18,449,7,3,24770,0,0,3153,0,0,343,6,0,18,0,0,85,0,0,5,1626,1,1,3,2,4,5,3,0,1,0,0,0,3,5,2,1,0,20,0,0,0,7096,5,0,1,2,0,0,5,2,7,3,0
