"","TotalReads","Number of barcodes","Ns_MinCutoff","Nb","Ns","AverageFrequency","CFU","Log10Ns","Log10CFU","CFU/Ns"
"s58_vc08",120739,89,31,2.12374208154241,137,1237.54923164307,5400,2.13672056715641,3.73239375982297,39.4160583941606
"s59_vc08",395939,125,18.8947368421053,1.4553519539594,275.333333333333,3852.25129019248,26000,2.43985879260072,4.41497334797082,94.4309927360775
"s6_vc08",269504,88,54.75,9.63799731983942,133.5,581.984099679725,3000,2.12548126570059,3.47712125471966,22.4719101123596
"s60_vc08",308022,136,58.1428571428571,5.35618608758452,322,2686.26862191349,6400,2.50785587169583,3.80617997398389,19.8757763975155
"s61_vc08",145465,65,73.8571428571429,64.6216523245366,86,81.3293810431038,82,1.93449845124357,1.91381385238372,0.953488372093023
"s62_vc08",109953,55,72.6666666666667,65.1391299102937,74.3333333333333,59.986900914878,76,1.8711836083285,1.88081359228079,1.02242152466368
"s63_vc08",95874,55,62.6666666666667,28.2347357101234,69.3333333333333,66.4020796597847,82,1.8409420802431,1.91381385238372,1.18269230769231
"s64_vc08",201000,175,335.333333333333,290.00253050713,925,293.689023113264,2.4e+08,2.96614173273903,8.38021124171161,259459.459459459
"s7_vc08",307868,97,96,12.1308846537995,158.5,325.85527021272,1600,2.20002926655377,3.20411998265592,10.0946372239748
"s8_vc08",124427,11,7.66666666666667,2.77336982618672,12.1111111111111,34.5227479036896,130,1.0831839885013,2.11394335230684,10.7339449541284
"s9_vc08",130986,18,17.6666666666667,6.34153845301656,19.8888888888889,31.238334556622,54,1.29861052154057,1.73239375982297,2.71508379888268
"s1_vc12",2104104,8,7.66666666666667,2.73521073633591,8.77777777777778,14.194480393658,39,0.943384581851117,1.5910646070265,4.44303797468354
"s10_vc12",212734,91,15.4444444444444,2.47890998143548,146.714285714286,3522.91701597042,91,2.16647240358302,1.95904139232109,0.620253164556962
"s11_vc12",579854,36,7.66666666666667,0.182493128697811,42.3333333333333,732.150601753532,4000,1.62668246623629,3.60205999132796,94.4881889763779
