,s34_vc5,s1_vc08,s10_vc08,s11_vc08,s12_vc08,s13_vc08,s14_vc08,s15_vc08,s16_vc08,s17_vc08,s18_vc08,s19_vc08,s2_vc08,s20_vc08,s21_vc08,s22_vc08,s23_vc08,s24_vc08,s25_vc08,s26_vc08,s27_vc08,s28_vc08,s29_vc08,s3_vc08,s30_vc08,s31_vc08,s32_vc08,s33_vc08,s34_vc08,s35_vc08,s36_vc08,s37_vc08,s38_vc08,s39_vc08,s4_vc08,s40_vc08,s41_vc08,s42_vc08,s43_vc08,s44_vc08,s45_vc08,s46_vc08,s47_vc08,s48_vc08,s49_vc08,s5_vc08,s50_vc08,s51_vc08,s52_vc08,s53_vc08,s54_vc08,s55_vc08,s56_vc08,s57_vc08,s58_vc08,s59_vc08,s6_vc08,s60_vc08,s61_vc08,s62_vc08,s63_vc08,s64_vc08,s7_vc08,s8_vc08,s9_vc08,s1_vc12,s10_vc12,s11_vc12,s12_vc12,s13_vc12,s14_vc12,s15_vc12,s16_vc12,s17_vc12,s18_vc12,s19_vc12,s2_vc12,s20_vc12,s21_vc12,s22_vc12,s23_vc12,s24_vc12,s25_vc12,s26_vc12,s27_vc12,s28_vc12,s29_vc12,s3_vc12,s30_vc12,s31_vc12,s32_vc12,s33_vc12,s34_vc12,s35_vc12,s36_vc12,s37_vc12,s38_vc12,s39_vc12,s4_vc12,s40_vc12,s41_vc12,s42_vc12,s43_vc12,s44_vc12,s45_vc12,s46_vc12,s47_vc12,s48_vc12,s49_vc12,s5_vc12,s50_vc12,s51_vc12,s52_vc12,s53_vc12,s54_vc12,s55_vc12,s56_vc12,s57_vc12,s58_vc12,s59_vc12,s6_vc12,s60_vc12,s61_vc12,s62_vc12,s63_vc12,s64_vc12,s7_vc12,s8_vc12,s9_vc12
lm119 mapping,1227,1147,0,1192,0,0,0,0,2710,84,1228,204,1013,492,169,85207,151,5370,0,20,0,445,109,479,254,2352,0,0,6,97,226,114,0,0,10,0,0,0,0,0,0,3247,0,623,212,306,261,0,10541,462,83,0,6,38,201,322,148,480,3225,0,0,860,0,0,0,0,30,0,22,0,0,0,0,0,0,0,0,681,0,0,0,1021,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,489,0,0,0,827,0,0,0,0,0,0,4657,0,17,0,0,0,397,6172,14213,5574,0,5237,7459,0,0,0,0,175,0
lm120 mapping,616,1744,0,0,0,0,0,0,349,0,161,113,0,439,136,199,0,0,0,49,0,0,412,575,0,1880,0,2,607,357,0,469,0,0,0,260,140,0,221,167,0,742,0,0,0,199,0,0,0,0,0,0,1,2,0,1,89,0,0,0,1477,1365,456,0,0,0,0,0,39,1073,0,0,0,0,0,0,0,0,0,0,65,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9863,0,8593,0,2524,4753,0,0,0,0,0,0
lm121 mapping,740,279,0,0,0,3178,0,0,826,0,178,101,0,0,822,325,184,0,0,80,0,0,2,679,246,7212,11,91,1095,1245,184,461,0,176,1022,0,0,0,0,0,1009,616,0,61,20,772,155,0,0,116,0,0,1,19,0,91,600,37,0,0,0,182,1686,0,0,0,11,0,3,0,0,0,0,0,0,0,0,2328,10446,459,0,75,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,34,0,8,0,0,0,0,4744,15632,167,124424,2936,5268,0,0,0,0,0,0
lm122 mapping,410,1877,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,139,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,919,0,28,38,0,136,0,0,0,30,0,6,0,0,0,0,80,0,0,0,1356,0,0,0,0,0,0,0,0,0,2062,0,0,0,0,0,783,0,0,0,3644,0,0,0,0,0,0,0,0,0,0,0,0,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,16,0,0,0,0,6981,2866,2509,0,6308,2706,0,0,0,0,0,0
lm123 mapping,540,1669,0,10503,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,356,0,1340,0,1,0,4,0,50,0,0,703,0,0,0,0,837,0,1121,0,304,39,838,152,0,0,42,64,0,2,20,0,147,206,99,4219,0,0,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1111,948,2622,0,2297,2352,0,0,0,0,0,0
lm124 mapping,493,496,0,0,0,0,0,0,1193,0,0,0,0,95,129,33,0,1,0,0,0,120,0,0,0,1081,0,11,0,345,104,0,0,0,0,0,0,0,0,0,0,494,0,22,13,1,16,0,0,0,0,0,0,36,87,0,0,0,0,0,0,396,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,4882,7667,0,0,3255,4300,0,0,0,0,0,0
lm125 mapping,739,461,0,0,0,0,0,0,664,0,3597,0,0,532,212,429,0,385,0,0,0,0,0,0,0,1900,0,0,0,0,126,66,0,0,0,0,0,0,0,0,0,3779,0,13,22,0,286,0,0,109,62,0,2,5,0,36,0,86,0,1293,0,330,0,0,0,0,18,621,0,0,0,1541,0,0,0,0,0,636,0,0,31317,0,0,0,0,0,0,863,0,672299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183518,0,0,0,40,0,0,0,0,268226,0,4691,11729,12999,0,1527,5186,0,0,0,22110,0,0
lm126 mapping,199,544,0,0,0,0,0,864,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,5,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,446,1108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,0,0,0,559,0,0,0,0,0,0,0,0,2228,0,0,0,0,0,0,0,0,1904,0,0,0,0,0,0,4,0,13,0,0,0,0,0,1655,1214,0,3726,1111,0,0,0,0,164,0
lm127 mapping,324,1348,0,0,0,0,0,0,780,0,0,0,0,517,223,92,0,0,0,0,0,0,0,605,0,562,0,0,0,0,463,0,0,0,592,0,0,0,0,0,0,2115,0,2269,56,273,127,0,249,0,4,0,7,41,57,0,0,175,0,2252,0,1124,0,0,0,0,499,0,0,0,0,0,0,0,0,0,0,0,5906,0,0,0,38431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,14959,3240,1135,0,0,1527,0,0,0,0,0,0
lm128 mapping,679,496,0,0,199,3261,1945,0,168,0,304,0,1075,1,8,39,0,0,0,0,0,0,4,0,0,238,0,0,0,0,40,2,0,0,1079,0,0,0,0,0,0,1242,0,94,13,802,143,0,0,0,67,0,0,52,70,191,242,204,868,0,0,450,442,0,0,39076,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,17782,0,0,0,0,0,8852,0,0,0,0,0,0,0,237,0,0,0,0,343,0,0,0,0,0,0,8,0,4,0,0,0,192,5999,2147,15223,0,2284,3320,0,0,0,18072,0,0
